"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"105",-5.89e-276,-5.75e-276,-5.74e-276,-5.88e-276,-5.75e-276,-5.74e-276,-5.88e-276,-5.89e-276,-5.74e-276,-5.88e-276,-5.89e-276,-5.75e-276
"106",-1.59e-275,-1.55e-275,-1.54e-275,-1.59e-275,-1.55e-275,-1.54e-275,-1.59e-275,-1.59e-275,-1.54e-275,-1.59e-275,-1.59e-275,-1.55e-275
"107",-4.32e-275,-4.21e-275,-4.2e-275,-4.33e-275,-4.21e-275,-4.2e-275,-4.33e-275,-4.32e-275,-4.2e-275,-4.33e-275,-4.32e-275,-4.21e-275
"108",-1.17e-274,-1.14e-274,-1.14e-274,-1.18e-274,-1.14e-274,-1.14e-274,-1.18e-274,-1.17e-274,-1.14e-274,-1.18e-274,-1.17e-274,-1.14e-274
"109",-3.18e-274,-3.1e-274,-3.11e-274,-3.18e-274,-3.1e-274,-3.11e-274,-3.18e-274,-3.18e-274,-3.11e-274,-3.18e-274,-3.18e-274,-3.1e-274
"110",-8.65e-274,-8.39e-274,-8.41e-274,-8.65e-274,-8.39e-274,-8.41e-274,-8.65e-274,-8.65e-274,-8.41e-274,-8.65e-274,-8.65e-274,-8.39e-274
"111",-2.36e-273,-2.3e-273,-2.29e-273,-2.38e-273,-2.3e-273,-2.29e-273,-2.38e-273,-2.36e-273,-2.29e-273,-2.38e-273,-2.36e-273,-2.3e-273
"112",-6.39e-273,-6.21e-273,-6.22e-273,-6.36e-273,-6.21e-273,-6.22e-273,-6.36e-273,-6.39e-273,-6.22e-273,-6.36e-273,-6.39e-273,-6.21e-273
"113",-1.75e-272,-1.7e-272,-1.7e-272,-1.74e-272,-1.7e-272,-1.7e-272,-1.74e-272,-1.75e-272,-1.7e-272,-1.74e-272,-1.75e-272,-1.7e-272
"114",-4.74e-272,-4.59e-272,-4.61e-272,-4.73e-272,-4.59e-272,-4.61e-272,-4.73e-272,-4.74e-272,-4.61e-272,-4.73e-272,-4.74e-272,-4.59e-272
"115",-1.28e-271,-1.24e-271,-1.25e-271,-1.28e-271,-1.24e-271,-1.25e-271,-1.28e-271,-1.28e-271,-1.25e-271,-1.28e-271,-1.28e-271,-1.24e-271
"116",-3.48e-271,-3.38e-271,-3.39e-271,-3.47e-271,-3.38e-271,-3.39e-271,-3.47e-271,-3.48e-271,-3.39e-271,-3.47e-271,-3.48e-271,-3.38e-271
"117",-9.45e-271,-9.17e-271,-9.2e-271,-9.46e-271,-9.17e-271,-9.2e-271,-9.46e-271,-9.45e-271,-9.2e-271,-9.46e-271,-9.45e-271,-9.17e-271
"118",-2.57e-270,-2.5e-270,-2.49e-270,-2.57e-270,-2.5e-270,-2.49e-270,-2.57e-270,-2.57e-270,-2.49e-270,-2.57e-270,-2.57e-270,-2.5e-270
"119",-6.99e-270,-6.79e-270,-6.79e-270,-7.01e-270,-6.79e-270,-6.79e-270,-7.01e-270,-6.99e-270,-6.79e-270,-7.01e-270,-6.99e-270,-6.79e-270
"120",-1.9e-269,-1.86e-269,-1.85e-269,-1.91e-269,-1.86e-269,-1.85e-269,-1.91e-269,-1.9e-269,-1.85e-269,-1.91e-269,-1.9e-269,-1.86e-269
"121",-5.17e-269,-5.05e-269,-5.04e-269,-5.19e-269,-5.05e-269,-5.04e-269,-5.19e-269,-5.17e-269,-5.04e-269,-5.19e-269,-5.17e-269,-5.05e-269
"122",-1.42e-268,-1.38e-268,-1.37e-268,-1.42e-268,-1.38e-268,-1.37e-268,-1.42e-268,-1.42e-268,-1.37e-268,-1.42e-268,-1.42e-268,-1.38e-268
"123",-3.84e-268,-3.72e-268,-3.71e-268,-3.84e-268,-3.72e-268,-3.71e-268,-3.84e-268,-3.84e-268,-3.71e-268,-3.84e-268,-3.84e-268,-3.72e-268
"124",-1.04e-267,-1.01e-267,-1.01e-267,-1.05e-267,-1.01e-267,-1.01e-267,-1.05e-267,-1.04e-267,-1.01e-267,-1.05e-267,-1.04e-267,-1.01e-267
"125",-2.82e-267,-2.75e-267,-2.75e-267,-2.83e-267,-2.75e-267,-2.75e-267,-2.83e-267,-2.82e-267,-2.75e-267,-2.83e-267,-2.82e-267,-2.75e-267
"126",-7.66e-267,-7.45e-267,-7.47e-267,-7.66e-267,-7.45e-267,-7.47e-267,-7.66e-267,-7.66e-267,-7.47e-267,-7.66e-267,-7.66e-267,-7.45e-267
"127",-2.08e-266,-2.02e-266,-2.04e-266,-2.09e-266,-2.02e-266,-2.04e-266,-2.09e-266,-2.08e-266,-2.04e-266,-2.09e-266,-2.08e-266,-2.02e-266
"128",-5.69e-266,-5.55e-266,-5.54e-266,-5.66e-266,-5.55e-266,-5.54e-266,-5.66e-266,-5.69e-266,-5.54e-266,-5.66e-266,-5.69e-266,-5.55e-266
