"t","v1","v2","v3"
2014-06-11 19:55:24,1804.75,114.265625,0
2014-06-11 19:55:25,1855,112.453125,6.66796875
2014-06-11 19:55:26,1882.5,111.34375,15.69140625
2014-06-11 19:55:27,1814,111.6015625,25.5
2014-06-11 19:55:28,1837,111.125,29.42578125
2014-06-11 19:55:29,1838,112.4609375,31.77734375
2014-06-11 19:55:30,1849.5,112.5234375,32.5625
2014-06-11 19:55:31,1922.25,113.7734375,40.8046875
2014-06-11 19:55:32,2419.75,113.8828125,41.58984375
2014-06-11 19:55:33,2417.75,115.078125,43.55078125
2014-06-11 19:55:34,2432.5,116.40625,44.05078125
2014-06-11 19:55:35,2452.25,117.5546875,47.91015625
2014-06-11 19:55:36,2474.75,119.328125,48.55078125
2014-06-11 19:55:37,2448.5,120.3046875,0
2014-06-11 19:55:38,1961.5,119.625,12.16015625
2014-06-11 19:55:39,1922,118.28125,0
2014-06-11 19:55:40,1963.5,116.0546875,16.8671875
2014-06-11 19:55:41,1903.75,116.1796875,25.5
2014-06-11 19:55:42,1912.5,116.734375,28.25
2014-06-11 19:55:43,1875.75,116.2890625,0
2014-06-11 19:55:44,1960,115.5234375,21.1875
2014-06-11 19:55:45,1884.25,115.296875,23.14453125
2014-06-11 19:55:46,1898.5,115.390625,28.25
2014-06-11 19:55:47,1910,115.875,32.171875
2014-06-11 19:55:48,1888.5,116.6875,18.4375
2014-06-11 19:55:49,1867.75,115.7109375,5.09765625
2014-06-11 19:55:50,1953.5,116.03125,34.91796875
2014-06-11 19:55:51,1922.5,116.1953125,35.3125
2014-06-11 19:55:52,1925,117.2890625,35.703125
2014-06-11 19:55:53,1944,117.5546875,35.703125
2014-06-11 19:55:54,1892.5,118.0625,0
2014-06-11 19:55:55,1935.25,117.796875,28.640625
2014-06-11 19:55:56,1901,118.1328125,0
2014-06-11 19:55:57,1875.75,116.0078125,0
2014-06-11 19:55:58,2006,115.15625,20.0078125
2014-06-11 19:55:59,1883.5,115.875,24.32421875
2014-06-11 19:56:00,1903,115.8359375,27.0703125
2014-06-11 19:56:01,1873,116.7578125,0
2014-06-11 19:56:02,1850.75,114.703125,0
2014-06-11 19:56:03,1989.75,114.140625,24.71484375
2014-06-11 19:56:04,1864,114.359375,25.109375
2014-06-11 19:56:05,1869.75,114.5078125,25.109375
2014-06-11 19:56:06,1875.5,114.8359375,25.109375
2014-06-11 19:56:07,1985.5,115.390625,38.0546875
2014-06-11 19:56:08,2454.25,116.265625,38.44921875
2014-06-11 19:56:09,2437,117.84375,40.01953125
2014-06-11 19:56:10,2075,116.34375,0
2014-06-11 19:56:11,1757.75,115.46875,0
2014-06-11 19:56:12,1898,116.4765625,29.81640625
2014-06-11 19:56:13,1880.5,115.515625,21.96875
2014-06-11 19:56:14,1871.5,115.75,0
2014-06-11 19:56:15,1879.5,114.1953125,12.5546875
2014-06-11 19:56:16,1904.25,113.9765625,34.1328125
2014-06-11 19:56:17,1892.5,114.8515625,30.9921875
2014-06-11 19:56:18,1848.5,115.875,1.171875
2014-06-11 19:56:19,1838.5,115.0859375,0
2014-06-11 19:56:20,1870,114.125,25.89453125
2014-06-11 19:56:21,1876.25,114.5703125,27.85546875
2014-06-11 19:56:22,1888.5,114.9609375,29.42578125
2014-06-11 19:56:23,1894.75,116.0546875,29.42578125
2014-06-11 19:56:24,1893.5,116.0625,29.42578125
2014-06-11 19:56:25,1896.25,116.8046875,20.0078125
2014-06-11 19:56:26,1868.25,115.6796875,1.95703125
2014-06-11 19:56:27,1886,115.140625,19.6171875
2014-06-11 19:56:28,1875,114.8984375,19.6171875
2014-06-11 19:56:29,1891.25,115.2734375,30.20703125
2014-06-11 19:56:30,1892.25,115.53125,30.20703125
2014-06-11 19:56:31,1858.75,115.8203125,0
2014-06-11 19:56:32,1906,116.0625,30.6015625
2014-06-11 19:56:33,1885.25,116.3828125,0
2014-06-11 19:56:34,1890.25,115.21875,11.76953125
2014-06-11 19:56:35,1874.75,114.6953125,19.22265625
2014-06-11 19:56:36,1867.75,114.703125,17.65234375
2014-06-11 19:56:37,1893.75,115.0859375,30.6015625
2014-06-11 19:56:38,2401.75,115.84375,36.48828125
2014-06-11 19:56:39,2452,117.2109375,36.48828125
2014-06-11 19:56:40,2478.25,118.1640625,36.48828125
2014-06-11 19:56:41,2520,120.9140625,36.48828125
2014-06-11 19:56:42,2206,121.5546875,0
2014-06-11 19:56:43,1879.75,120.5,0
2014-06-11 19:56:44,1798.25,120.2265625,0
2014-06-11 19:56:45,1797.75,118.921875,0
2014-06-11 19:56:46,1839.75,117.375,0
2014-06-11 19:56:47,1912.25,115.296875,9.01953125
2014-06-11 19:56:48,1960.25,114.8828125,20.79296875
2014-06-11 19:56:49,1904.75,115.7109375,28.640625
2014-06-11 19:56:50,1870.25,116.4375,0
2014-06-11 19:56:51,1959.75,115.015625,17.65234375
2014-06-11 19:56:52,1851,114.6484375,0
2014-06-11 19:56:53,1825,113.375,0
2014-06-11 19:56:54,1864,111.5234375,12.16015625
2014-06-11 19:56:55,1827.25,111.46875,20.0078125
2014-06-11 19:56:56,1828.25,111.75,20.0078125
2014-06-11 19:56:57,1787,111.6796875,0
2014-06-11 19:56:58,1834.25,109.921875,11.375
2014-06-11 19:56:59,1800.75,109.6953125,22.36328125
2014-06-11 19:57:00,1804.5,109.75,30.6015625
2014-06-11 19:57:01,1819,110.609375,30.6015625
2014-06-11 19:57:02,1819.5,111.0546875,30.6015625
2014-06-11 19:57:03,1817.75,111.2265625,30.6015625
2014-06-11 19:57:04,1812.5,111.46875,30.6015625
2014-06-11 19:57:05,1819.5,111.625,30.6015625
2014-06-11 19:57:06,2287,111.4296875,41.1953125
2014-06-11 19:57:07,2332.5,112.203125,36.87890625
2014-06-11 19:57:08,2323,112.6015625,29.81640625
2014-06-11 19:57:09,2340,112.078125,37.26953125
2014-06-11 19:57:10,2355.5,113.5703125,44.69140625
2014-06-11 19:57:11,2375.5,114.015625,44.69140625
2014-06-11 19:57:12,2396.5,114.7734375,43.55078125
2014-06-11 19:57:13,2408.25,116.125,42.375
2014-06-11 19:57:14,2423.25,116.7578125,40.8046875
2014-06-11 19:57:15,2442.5,117.609375,37.6640625
2014-06-11 19:57:16,2457.75,118.8125,37.6640625
2014-06-11 19:57:17,2472.25,119.3046875,37.6640625
2014-06-11 19:57:18,2509.25,120.46875,37.6640625
2014-06-11 19:57:19,2381.25,120.7578125,0
2014-06-11 19:57:20,1861.75,120.6484375,0
2014-06-11 19:57:21,1997.25,119.59375,14.515625
2014-06-11 19:57:22,1948,118.875,18.046875
2014-06-11 19:57:23,1957.25,119.3828125,18.4375
2014-06-11 19:57:24,1949.5,119.8671875,12.5546875
2014-06-11 19:57:25,1950,119.828125,12.5546875
2014-06-11 19:57:26,1951,119.59375,13.33984375
2014-06-11 19:57:27,1951.25,119.828125,20.0078125
2014-06-11 19:57:28,1949.5,120.09375,0
2014-06-11 19:57:29,1881.5,119.3828125,0
2014-06-11 19:57:30,1883.75,117.8125,0
2014-06-11 19:57:31,1871.75,116.8671875,0
2014-06-11 19:57:32,1851.5,115.046875,0
2014-06-11 19:57:33,1830.75,114.4765625,0
2014-06-11 19:57:34,1807.25,112.515625,0
2014-06-11 19:57:35,1788,111.3046875,0
2014-06-11 19:57:36,1898.75,111.0546875,13.73046875
2014-06-11 19:57:37,1825.5,111.4453125,20.79296875
2014-06-11 19:57:38,1838.25,112.171875,22.36328125
2014-06-11 19:57:39,1852.5,113.4453125,22.36328125
2014-06-11 19:57:40,1863.75,113.9765625,22.36328125
2014-06-11 19:57:41,1871,115.109375,22.36328125
2014-06-11 19:57:42,1886.75,116.0078125,22.36328125
2014-06-11 19:57:43,1900.5,116.34375,22.36328125
2014-06-11 19:57:44,1915.75,117.109375,27.46484375
2014-06-11 19:57:45,1933.25,118.0703125,29.81640625
2014-06-11 19:57:46,1928.75,119.2421875,22.75390625
2014-06-11 19:57:47,1943.75,119.671875,21.578125
2014-06-11 19:57:48,1902,119.4921875,0
2014-06-11 19:57:49,1860,116.921875,0
2014-06-11 19:57:50,1950.25,116.0546875,19.6171875
2014-06-11 19:57:51,1866.25,116.2265625,7.453125
2014-06-11 19:57:52,1877.5,115.46875,10.58984375
2014-06-11 19:57:53,3199,114.6640625,42.375
2014-06-11 19:57:54,3414.5,115.453125,42.375
2014-06-11 19:57:55,3464.5,118.3046875,42.765625
2014-06-11 19:57:56,3429,120.34375,41.58984375
2014-06-11 19:57:57,2426,121,0
2014-06-11 19:57:58,2009.5,119.171875,0
2014-06-11 19:57:59,1996.75,118.578125,21.96875
2014-06-11 19:58:00,1935.75,118.84375,21.96875
2014-06-11 19:58:01,1927,118.921875,0
2014-06-11 19:58:02,1858.75,116.5859375,0
2014-06-11 19:58:03,1928.25,115.4609375,9.8046875
2014-06-11 19:58:04,1876.25,114.7265625,13.33984375
2014-06-11 19:58:05,1866.5,114.2890625,13.73046875
2014-06-11 19:58:06,1910,113.9765625,16.8671875
2014-06-11 19:58:07,2028.75,115.0390625,42.375
2014-06-11 19:58:08,2435.25,115.4375,42.375
2014-06-11 19:58:09,2451,117.4921875,38.83984375
2014-06-11 19:58:10,2478.5,119.5546875,32.95703125
2014-06-11 19:58:11,2118.5,119.3828125,0
2014-06-11 19:58:12,2040.25,119.2421875,20.40234375
2014-06-11 19:58:13,1919.5,118.9453125,0
2014-06-11 19:58:14,1959.75,117.8671875,15.296875
2014-06-11 19:58:15,1837.75,116.2890625,0
2014-06-11 19:58:16,1862.5,113.9375,0
2014-06-11 19:58:17,1813.25,113.6875,0
2014-06-11 19:58:18,1865.75,111.15625,9.8046875
2014-06-11 19:58:19,1783.5,109.6640625,10.19921875
2014-06-11 19:58:20,1757.25,108.9921875,2.3515625
2014-06-11 19:58:21,1788.25,107.2265625,15.69140625
2014-06-11 19:58:22,1740.75,106.8203125,16.08203125
2014-06-11 19:58:23,1725,105.1953125,19.22265625
2014-06-11 19:58:24,1693.5,104.4765625,14.125
2014-06-11 19:58:25,1689,103.1875,25.5
2014-06-11 19:58:26,1688.5,103.6484375,25.5
2014-06-11 19:58:27,1692.5,103.6953125,25.5
2014-06-11 19:58:28,1693.25,103.546875,26.28515625
2014-06-11 19:58:29,1703,104.2734375,26.28515625
2014-06-11 19:58:30,1728.25,104.90625,34.1328125
2014-06-11 19:58:31,1720.25,105.15625,28.25
2014-06-11 19:58:32,1717.75,105.6015625,24.71484375
2014-06-11 19:58:33,1698,103.984375,0
2014-06-11 19:58:34,1624,101.6796875,0
2014-06-11 19:58:35,1567.5,98.421875,0
2014-06-11 19:58:36,1526.5,95.6015625,0
2014-06-11 19:58:37,1455,91.1015625,0
2014-06-11 19:58:38,1442.75,89.5625,0
2014-06-11 19:58:39,1411.25,89.453125,0
2014-06-11 19:58:40,1386.25,87.7421875,0
2014-06-11 19:58:41,1353.5,85.96875,0
2014-06-11 19:58:42,1327.5,84.25,0
2014-06-11 19:58:43,1309.25,82.3359375,0
2014-06-11 19:58:44,1251,81.234375,0
2014-06-11 19:58:45,1260.75,79.1796875,0
2014-06-11 19:58:46,1240.5,77.046875,0
2014-06-11 19:58:47,1211,75.75,0
2014-06-11 19:58:48,1170.5,75.75,0
2014-06-11 19:58:49,1118.5,72.359375,0
2014-06-11 19:58:50,1073.5,68.6484375,0
2014-06-11 19:58:51,1386,66.171875,27.46484375
2014-06-11 19:58:52,1113.25,67.796875,27.85546875
2014-06-11 19:58:53,1070.25,68.53125,0
2014-06-11 19:58:54,1049.25,66.0234375,0
2014-06-11 19:58:55,988.25,63.421875,0
2014-06-11 19:58:56,889,57.875,0
2014-06-11 19:58:57,887.75,47.796875,0
2014-06-11 19:58:58,803.25,31.78125,0
2014-06-11 19:58:59,671.5,19.2734375,0
2014-06-11 19:59:00,725.5,14.0703125,0
2014-06-11 19:59:01,660.75,6.4375,0
2014-06-11 19:59:02,651.5,2.0703125,0
2014-06-11 19:59:03,1306.25,2.4609375,20.0078125
2014-06-11 19:59:04,1483.75,6.546875,16.8671875
2014-06-11 19:59:05,1429,12.234375,6.66796875
2014-06-11 19:59:06,1686.75,14.109375,6.27734375
2014-06-11 19:59:07,2027.75,16.7421875,20.40234375
2014-06-11 19:59:08,1909,22.890625,25.5
2014-06-11 19:59:09,2230,27.6328125,32.5625
2014-06-11 19:59:10,2361,31.234375,53.359375
2014-06-11 19:59:11,2606.25,41.296875,58.06640625
2014-06-11 19:59:12,3050,50.015625,59.63671875
2014-06-11 19:59:13,3504.75,57.6484375,60.02734375
2014-06-11 19:59:14,3938.75,64.9765625,49.53125
2014-06-11 19:59:15,3214.75,70.171875,43.55078125
2014-06-11 19:59:16,2683.75,73.1953125,0
2014-06-11 19:59:17,2463.5,72.46875,9.4140625
2014-06-11 19:59:18,1776.25,72.4921875,0
2014-06-11 19:59:19,1442.75,71.34375,17.26171875
2014-06-11 19:59:20,1575.75,72.015625,23.14453125
2014-06-11 19:59:21,1248.5,72.1328125,27.85546875
2014-06-11 19:59:22,1212.75,73.4609375,28.640625
2014-06-11 19:59:23,1229.25,74.2734375,30.9921875
2014-06-11 19:59:24,1211.25,75.3125,0
2014-06-11 19:59:25,1261.75,74.484375,21.1875
2014-06-11 19:59:26,1232.75,74.9609375,0
2014-06-11 19:59:27,1170.75,74.3359375,19.6171875
2014-06-11 19:59:28,1235.75,74.8359375,24.32421875
2014-06-11 19:59:29,1248.75,75.4921875,24.32421875
2014-06-11 19:59:30,1272,76.734375,24.32421875
2014-06-11 19:59:31,1287.25,77.9375,24.32421875
2014-06-11 19:59:32,1318.75,78.3515625,24.32421875
2014-06-11 19:59:33,1280.5,79.375,0
2014-06-11 19:59:34,1227,78.375,0
2014-06-11 19:59:35,1261,77.125,11.76953125
2014-06-11 19:59:36,1306.5,77,0
2014-06-11 19:59:37,1233,77.3359375,0
2014-06-11 19:59:38,1205,75.2421875,0
2014-06-11 19:59:39,1123,73.8203125,0
2014-06-11 19:59:40,1032.75,66.59375,0
2014-06-11 19:59:41,947.5,61.71875,0
2014-06-11 19:59:42,939.25,53.1484375,0
2014-06-11 19:59:43,842,42.25,0
2014-06-11 19:59:44,707.75,25.328125,0
2014-06-11 19:59:45,835.5,16.9921875,0
2014-06-11 19:59:46,715.5,13.9453125,0
2014-06-11 19:59:47,704.25,10.6328125,0
2014-06-11 19:59:48,717,7.8828125,0
2014-06-11 19:59:49,702.5,6.7578125,0
2014-06-11 19:59:50,1132,6.2890625,18.4375
2014-06-11 19:59:51,961.25,7.9453125,0
2014-06-11 19:59:52,943,9.0234375,0
2014-06-11 19:59:53,1129.75,9.3828125,0
2014-06-11 19:59:54,1068.75,10.34375,0
2014-06-11 19:59:55,1566,11.359375,36.09765625
2014-06-11 19:59:56,1955.5,17.28125,0
2014-06-11 19:59:57,1646,19.3203125,0
2014-06-11 19:59:58,1210,21.6328125,0
2014-06-11 19:59:59,989.75,19.71875,0
2014-06-11 20:00:00,700.5,16.765625,0
2014-06-11 20:00:01,668.5,11.2734375,0
2014-06-11 20:00:02,639.5,5.203125,0
2014-06-11 20:00:03,647.25,3.171875,0
2014-06-11 20:00:04,672.25,0.046875,0
2014-06-11 20:00:05,671.5,0,0
2014-06-11 20:00:06,659.25,0,0
2014-06-11 20:00:07,664.75,0,0
2014-06-11 20:00:08,659,0,0
2014-06-11 20:00:09,661.75,0,0
2014-06-11 20:00:10,645.5,0,0
2014-06-11 20:00:11,646.5,0,0
2014-06-11 20:00:12,654.25,0,0
2014-06-11 20:00:13,656.75,0.6796875,0
2014-06-11 20:00:14,643,1.2890625,0
2014-06-11 20:00:15,658.25,1.7890625,0
2014-06-11 20:00:16,659.75,1.125,0
2014-06-11 20:00:17,652.75,0.421875,0
2014-06-11 20:00:18,659.5,0,0
2014-06-11 20:00:19,647.25,0,0
2014-06-11 20:00:20,648,0,0
2014-06-11 20:00:21,653.5,0,0
2014-06-11 20:00:22,654.5,0,0
2014-06-11 20:00:23,654.25,0,0
2014-06-11 20:00:24,634.25,0,0
2014-06-11 20:00:25,668.5,1.0234375,0
2014-06-11 20:00:26,645.75,2.8046875,0
2014-06-11 20:00:27,656,2.5078125,0
2014-06-11 20:00:28,645,0.2734375,0
2014-06-11 20:00:29,643,0,0
2014-06-11 20:00:30,642,0,0
2014-06-11 20:00:31,630.25,0,0
2014-06-11 20:00:32,641,0,0
2014-06-11 20:00:33,641,0,0
2014-06-11 20:00:34,644.25,0,0
2014-06-11 20:00:35,655.75,0,0
2014-06-11 20:00:36,647.75,0,0
2014-06-11 20:00:37,655.5,0,0
2014-06-11 20:00:38,642.5,0,0
